id,district_code
school-41043,lgaa5101cb3dc0e
school-41044,lga2e3aa047bd58
school-41045,lga2e3aa047bd58
school-41046,lga09dd4fbbc477
school-41047,lga695a89c7b19b
school-41048,lga0f45891fa7ad
school-41049,lgaa5101cb3dc0e
school-41050,lga2e3aa047bd58
school-41051,lgaa5101cb3dc0e
school-41052,lgac6194db78942
school-41053,lgac6194db78942
school-41054,lgac6194db78942
school-41055,lga605d8cdb0eb8
school-41056,lgacf41226610f4
school-41057,lga0f45891fa7ad
school-41058,lgac6194db78942
school-41059,lga695a89c7b19b
school-41060,lgac6194db78942
school-41061,lgac6194db78942
school-41062,lga09dd4fbbc477
school-41063,lgac6194db78942
school-41064,lgac6194db78942
school-41065,lga2e3aa047bd58
school-41066,lga2e3aa047bd58
school-41067,lga2e3aa047bd58
school-41068,lgac6194db78942
school-41069,lgac6194db78942
school-41070,lga695a89c7b19b
school-41071,lgaa5101cb3dc0e
school-41072,lgacf41226610f4
school-41073,lgac6194db78942
school-41074,lga695a89c7b19b
school-41075,lgac6194db78942
school-41076,lga605d8cdb0eb8
school-41077,lgaa5101cb3dc0e
school-41078,lgaa5101cb3dc0e
school-41079,lgaa5101cb3dc0e
school-41080,lga7aa37c79c7ff
school-41081,lgac6194db78942
school-41082,lgac6194db78942
school-41083,lgac6194db78942
school-41084,lga2e3aa047bd58
school-41085,lgac6194db78942
school-41086,lga2e3aa047bd58
school-41087,lga09dd4fbbc477
school-41088,lgac6194db78942
school-41089,lgac6194db78942
school-41090,lgac6194db78942
school-41091,lgac6194db78942
school-41092,lgac6194db78942
school-41093,lga605d8cdb0eb8
school-41094,lgac6194db78942
school-41095,lgac6194db78942
school-41096,lga09dd4fbbc477
school-41097,lgac6194db78942
school-41098,lgac6194db78942
school-41099,lgac6194db78942
school-41100,lga09dd4fbbc477
school-41101,lga2e3aa047bd58
school-41102,lgaa5101cb3dc0e
school-41103,lgac6194db78942
school-41104,lgac6194db78942
school-41105,lgac6194db78942
school-41106,lgaa5101cb3dc0e
school-41107,lgaa5101cb3dc0e
school-41108,lgac6194db78942
school-41109,lga695a89c7b19b
school-41110,lgac6194db78942
school-41111,lgaa5101cb3dc0e
school-41112,lga605d8cdb0eb8
school-41113,lgac6194db78942
school-41114,lga605d8cdb0eb8
school-41115,lgac6194db78942
school-41116,lgacf41226610f4
school-41117,lgaa5101cb3dc0e
school-41118,lgac6194db78942
school-41119,lga605d8cdb0eb8
school-41120,lga695a89c7b19b
school-41121,lgac6194db78942
school-41122,lga695a89c7b19b
school-41123,lga2e3aa047bd58
school-41124,lgac6194db78942
school-41125,lga7aa37c79c7ff
school-41126,lgac6194db78942
school-41127,lga2e3aa047bd58
school-41128,lgacf41226610f4
school-41129,lga695a89c7b19b
school-41130,lgaa5101cb3dc0e
school-41131,lga695a89c7b19b
school-41132,lga7aa37c79c7ff
school-41133,lga605d8cdb0eb8
school-41134,lgadd72d6dc964c
school-41135,lgadd72d6dc964c
school-41136,lga695a89c7b19b
school-41137,lga605d8cdb0eb8
school-41138,lga605d8cdb0eb8
school-41139,lga605d8cdb0eb8
school-41140,lgaa5101cb3dc0e
school-41141,lga09dd4fbbc477
school-41142,lga605d8cdb0eb8
school-41143,lga605d8cdb0eb8
school-41144,lgaa5101cb3dc0e
school-41145,lgaa5101cb3dc0e
school-41146,lga0f45891fa7ad
school-41147,lgaa5101cb3dc0e
school-41148,lga695a89c7b19b
school-41149,lga605d8cdb0eb8
school-41150,lga605d8cdb0eb8
school-41151,lga695a89c7b19b
school-41152,lga605d8cdb0eb8
school-41153,lgadd72d6dc964c
school-41154,lga09dd4fbbc477
school-41155,lga09dd4fbbc477
school-41156,lgacf41226610f4
school-41157,lgac6194db78942
school-41158,lga2e3aa047bd58
school-41159,lgac6194db78942
school-41160,lga695a89c7b19b
school-41161,lgac6194db78942
school-41162,lga2e3aa047bd58
school-41163,lga09dd4fbbc477
school-41164,lgac6194db78942
school-41165,lga695a89c7b19b
school-41166,lgac6194db78942
school-41167,lga605d8cdb0eb8
school-41168,lga695a89c7b19b
school-41169,lgac6194db78942
school-41170,lgac6194db78942
school-41171,lga2e3aa047bd58
school-41172,lgac6194db78942
school-41173,lgac6194db78942
school-41174,lgac6194db78942
school-41175,lgac6194db78942
school-41176,lgaa5101cb3dc0e
school-41177,lgaa5101cb3dc0e
school-41178,lgaa5101cb3dc0e
school-41179,lgaa5101cb3dc0e
school-41180,lga605d8cdb0eb8
