id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
school-42277,school,Port Macquarie Public School,"Port Macquarie, NSW, 2444",2444,-31.429869,152.913872,lga18e02c07dc3d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Port Macquarie-Hastings""}",True
school-42278,school,Raleigh Public School,"Raleigh, NSW, 2454",2454,-30.44949828,153.01263686,lgab59cd333b8fb,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Bellingen""}",True
school-42279,school,Rappville Public School,"Rappville, NSW, 2469",2469,-29.085815,152.95533,lgaf047d6867b53,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Richmond Valley""}",True
school-42280,school,Repton Public School,"Repton, NSW, 2454",2454,-30.44787,153.028154,lgab59cd333b8fb,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Bellingen""}",True
school-42281,school,The Risk Public School,"The Risk, NSW, 2474",2474,-28.47659532,152.93337476,lga142c33281bd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Kyogle""}",True
school-42282,school,Whian Whian Public School,"Whian Whian, NSW, 2480",2480,-28.638212,153.314317,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42283,school,Rollands Plains Upper Public School,"Rollands Plains, NSW, 2441",2441,-31.239302,152.631805,lga18e02c07dc3d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Port Macquarie-Hastings""}",True
school-42284,school,Rosebank Public School,"Rosebank, NSW, 2480",2480,-28.678336,153.388262,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42285,school,Rous Public School,"Alstonville, NSW, 2477",2477,-28.870683,153.406624,lgacd5e92fad2d8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Ballina""}",True
school-42287,school,Sawtell Public School,"Sawtell, NSW, 2452",2452,-30.363316,153.09764,lga14af0b5e48b8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Coffs Harbour""}",True
school-42288,school,Smithtown Public School,"Smithtown, NSW, 2440",2440,-31.018188,152.941365,lga4774a2311524,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Kempsey""}",True
school-42289,school,South West Rocks Public School,"South West Rocks, NSW, 2431",2431,-30.891502,153.039879,lga4774a2311524,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Kempsey""}",True
school-42290,school,Stokers Siding Public School,"Stokers Siding, NSW, 2484",2484,-28.393823,153.404371,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Tweed""}",True
school-42291,school,Stratford Public School,"Stratford, NSW, 2422",2422,-32.116885,151.93922,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42292,school,Stratheden Public School,"Stratheden, NSW, 2470",2470,-28.755713,152.937222,lgaf047d6867b53,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Richmond Valley""}",True
school-42293,school,Stroud Public School,"Stroud, NSW, 2425",2425,-32.4025409394818,151.963811497062,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42294,school,Stroud Road Public School,"Stroud Road, NSW, 2415",2415,-32.347986,151.932369,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42295,school,Tabulam Public School,"Tabulam, NSW, 2469",2469,-28.888649,152.568703,lga142c33281bd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Kyogle""}",True
school-42296,school,Taree Public School,"Taree, NSW, 2430",2430,-31.910904,152.462158,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42297,school,Tea Gardens Public School,"Tea Gardens, NSW, 2324",2324,-32.667785,152.157991,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
