id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
nursery-01HGCQT80BRZW8D05GMDE5JNQW,nursery,Randwick OOSH,"Randwick Public School, 90-96 Cowper Street, Randwick",2031,-33.9091081,151.2390143,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013815MQA5ADAAMAAxADUAMAA4ADkAQwA="", ""provider_id"": ""PR-40002651"", ""service_type"": [""Centre-Based Care"", ""OTHER"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""EXCD""}",true
nursery-01HGCQT7ZCB3XK96G32G5XK7VN,nursery,TeamKids - Maroubra Bay Public School,"88-94 Duncan St, Maroubra",2035,-33.9438419,151.2552992,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013814MQA5ADAAMAA1ADIAMAA5ADEAQQA="", ""provider_id"": ""PR-40002234"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQT5W1FA583BB29F9ECTCY,nursery,JEMS OSHC,"36a Flood Street, Bondi",2026,-33.8918308,151.2593888,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013880MQA5ADAAMAA1ADkAMgA1ADIAUwA="", ""provider_id"": ""PR-40000033"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQT4CVC67JC3A0P7F1XBY5,nursery,Bondi Before and After Care,"Bondi Public School, Wellington Street, Bondi",2026,-33.8926836,151.2647021,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013601MQA5ADAAMAAxADYANQA1ADQAQgA="", ""provider_id"": ""PR-00007871"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQSYR3A3BV72A92S2P6X4B,nursery,Waverley Community Out of School Care,"Waverley Public School, 155 Bronte Road, Waverley",2024,-33.8984861,151.2517501,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013553MQA5ADAAMAAxADAANAAyADQAUwA="", ""provider_id"": ""PR-00007848"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQSXW38BPG7TA62K22ZP6B,nursery,Kensington Public School OOSH Care Incorporated,"Kensington Public School, 77-79 Doncaster Avenue, Kensington",2033,-33.9096104,151.2249452,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013512MQA5ADAAMAAxADgAMQAwADkAQQA="", ""provider_id"": ""PR-00007815"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQSVRMPSJ841TX66X1YVYZ,nursery,Maroubra Junction Before and After School and Vacation Care Centre,"Maroubra Junction Public School, 112 Storey Street, Maroubra",2035,-33.9369562,151.239903,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013420MQA5ADAAMAAxADUANAA1ADYAWAA="", ""provider_id"": ""PR-00007733"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQRD255P8PB7SQ15W55B11,nursery,GWC Kingsford OSHC,"St Spyridon Greek Orthodox School, 80 Gardeners Road, Kingsford",2032,-33.9251552,151.2245268,lga695a89c7b19b,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00012249MQA5ADAAMAAwADkAMgA1ADgAQgA="", ""provider_id"": ""PR-00003387"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQRA2E6D6HSE5M5493HEF5,nursery,St Catherine's School Waverley,"26 Albion Street, Waverley",2024,-33.9042186,151.2548281,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00012303MQA5ADAAMAAxADAAOAAzADkASwA="", ""provider_id"": ""PR-00007156"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQR8QJDVMSAY52P164Q488,nursery,Clovelly Out of School Care,"1 Arden Street, Waverley",2024,-33.9075121,151.2599294,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00012286MQA5ADAAMAAxADcAMAAwADQAQgA="", ""provider_id"": ""PR-00007151"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
